drawing_date,ball1,ball2,ball3,ball4,ball5,star1,star2,prizes
2025-07-25,6,7,23,32,36,11,12,"{'prize': 3.59, 'winners': 1597566, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-22,8,15,26,33,41,9,10,"{'prize': 3.9, 'winners': 1172483, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-18,13,19,25,42,45,2,9,"{'prize': 3.89, 'winners': 1500884, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-15,24,38,41,45,49,1,6,"{'prize': 4.62, 'winners': 859234, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-11,8,23,24,45,49,2,10,"{'prize': 3.92, 'winners': 1233108, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-08,1,8,9,18,50,1,5,"{'prize': 3.87, 'winners': 985419, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-04,19,29,42,45,48,5,7,"{'prize': 4.48, 'winners': 1025052, 'matched_stars': 0, 'matched_numbers': 2}"
2025-07-01,1,17,28,32,34,7,8,"{'prize': 4.29, 'winners': 825734, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-27,19,27,36,45,49,7,10,"{'prize': 4.32, 'winners': 1027285, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-24,7,16,21,23,39,7,11,"{'prize': 3.49, 'winners': 942225, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-20,5,8,24,37,47,3,9,"{'prize': 4.12, 'winners': 1064811, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-17,13,22,23,44,49,3,5,"{'prize': 3.92, 'winners': 2222499, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-13,2,28,40,43,45,3,7,"{'prize': 4.61, 'winners': 2534452, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-10,19,36,39,40,45,5,6,"{'prize': 4.58, 'winners': 1918167, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-06,20,21,29,30,35,2,12,"{'prize': 3.93, 'winners': 2871563, 'matched_stars': 0, 'matched_numbers': 2}"
2025-06-03,12,15,38,47,48,5,7,"{'prize': 4.43, 'winners': 1826079, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-30,4,7,14,33,36,1,5,"{'prize': 3.76, 'winners': 2129110, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-27,12,30,38,40,41,4,12,"{'prize': 4.26, 'winners': 1451448, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-23,10,29,43,46,49,7,12,"{'prize': 4.5, 'winners': 1527587, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-20,1,8,13,29,47,5,6,"{'prize': 3.94, 'winners': 1352916, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-16,6,9,25,37,46,6,12,"{'prize': 4.02, 'winners': 1578227, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-13,9,19,44,47,50,2,9,"{'prize': 4.26, 'winners': 1142108, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-09,15,18,25,29,47,5,9,"{'prize': 4.09, 'winners': 1430207, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-06,8,23,24,47,48,4,9,"{'prize': 4.11, 'winners': 1050239, 'matched_stars': 0, 'matched_numbers': 2}"
2025-05-02,3,5,19,21,49,1,10,"{'prize': 3.37, 'winners': 1576485, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-29,2,9,24,30,41,1,11,"{'prize': 3.81, 'winners': 972679, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-25,13,22,32,39,41,1,12,"{'prize': 3.88, 'winners': 1213128, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-22,7,28,33,37,47,9,12,"{'prize': 3.91, 'winners': 848025, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-18,20,27,35,39,48,3,8,"{'prize': 4.53, 'winners': 941740, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-15,3,31,33,38,44,6,12,"{'prize': 4.07, 'winners': 807850, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-11,14,28,34,46,49,3,8,"{'prize': 4.58, 'winners': 914696, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-08,3,14,15,48,49,1,7,"{'prize': 4.32, 'winners': 716092, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-04,27,39,41,45,50,5,7,"{'prize': 4.9, 'winners': 886742, 'matched_stars': 0, 'matched_numbers': 2}"
2025-04-01,9,24,30,46,49,4,12,"{'prize': 4.18, 'winners': 810737, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-28,10,21,30,42,45,1,9,"{'prize': 3.89, 'winners': 3111406, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-25,1,3,18,33,36,2,6,"{'prize': 4.03, 'winners': 1942643, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-21,9,17,18,21,50,5,12,"{'prize': 3.62, 'winners': 2319001, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-18,4,9,35,46,50,8,11,"{'prize': 4.37, 'winners': 1447963, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-14,8,10,33,35,49,2,9,"{'prize': 4.2, 'winners': 1755386, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-11,13,36,37,42,47,7,11,"{'prize': 4.53, 'winners': 1269940, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-07,6,10,27,32,48,3,8,"{'prize': 4.12, 'winners': 1986190, 'matched_stars': 0, 'matched_numbers': 2}"
2025-03-04,15,20,29,35,42,2,9,"{'prize': 4.2, 'winners': 724716, 'matched_stars': 0, 'matched_numbers': 2}"
2025-02-28,7,16,31,43,46,5,9,"{'prize': 4.38, 'winners': 1023433, 'matched_stars': 0, 'matched_numbers': 2}"
2025-02-25,17,22,23,24,44,6,11,"{'prize': 3.44, 'winners': 929020, 'matched_stars': 0, 'matched_numbers': 2}"
2025-02-21,1,3,11,20,43,2,11,"{'prize': 3.73, 'winners': 1088811, 'matched_stars': 0, 'matched_numbers': 2}"
2025-02-18,5,14,25,26,40,5,7,"{'prize': 4.14, 'winners': 720876, 'matched_stars': 0, 'matched_numbers': 2}"
2025-02-14,4,14,31,36,38,3,10,"{'prize': 4.24, 'winners': 1322764, 'matched_stars': 0, 'matched_numbers': 2}"
2025-02-11,3,21,36,41,46,1,6,"{'prize': 4.48, 'winners': 805259, 'matched_stars': 0, 'matched_numbers': 2}"
2025-02-07,10,23,24,29,45,8,10,{}
2025-02-04,3,4,29,39,43,5,10,"{'prize': 4.18, 'winners': 792657, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-31,22,30,41,44,49,2,7,"{'prize': 4.71, 'winners': 892502, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-28,9,37,41,42,49,1,9,"{'prize': 4.77, 'winners': 631428, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-24,2,11,19,30,49,3,8,"{'prize': 3.93, 'winners': 1351272, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-21,6,8,14,27,41,4,5,"{'prize': 3.94, 'winners': 974545, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-17,8,15,24,35,42,6,8,"{'prize': 4.07, 'winners': 1192259, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-14,18,20,29,41,48,5,9,"{'prize': 4.49, 'winners': 811530, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-10,12,27,36,37,42,6,7,"{'prize': 4.38, 'winners': 1040834, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-07,20,33,35,41,47,4,12,"{'prize': 4.53, 'winners': 731851, 'matched_stars': 0, 'matched_numbers': 2}"
2025-01-03,3,19,29,35,37,1,9,"{'prize': 3.99, 'winners': 1008934, 'matched_stars': 0, 'matched_numbers': 2}"
