drawing_date,ball1,ball2,ball3,ball4,ball5,star1,star2,prizes
2025-12-05,9,15,25,34,46,8,12,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 13000000000, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 54897560, 'winners': 2, 'specialPrize': 0}, 'rank3': {'prize': 1832920, 'winners': 14, 'specialPrize': 0}, 'rank4': {'prize': 166510, 'winners': 48, 'specialPrize': 0}, 'rank5': {'prize': 13420, 'winners': 1097, 'specialPrize': 0}, 'rank6': {'prize': 7730, 'winners': 2013, 'specialPrize': 0}, 'rank7': {'prize': 3970, 'winners': 2755, 'specialPrize': 0}, 'rank8': {'prize': 1780, 'winners': 30712, 'specialPrize': 0}, 'rank9': {'prize': 1260, 'winners': 48247, 'specialPrize': 0}, 'rank10': {'prize': 950, 'winners': 119175, 'specialPrize': 0}, 'rank11': {'prize': 830, 'winners': 164376, 'specialPrize': 0}, 'rank12': {'prize': 600, 'winners': 712359, 'specialPrize': 0}, 'rank13': {'prize': 390, 'winners': 1772798, 'specialPrize': 0}}, 'jackpot': '130', 'currency': 'EUR', 'next_jackpot': '143', 'current_jackpot': '130'}"
2025-12-02,4,13,14,20,41,6,12,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 1700000000, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 24965350, 'winners': 2, 'specialPrize': 0}, 'rank3': {'prize': 1296620, 'winners': 9, 'specialPrize': 0}, 'rank4': {'prize': 158030, 'winners': 23, 'specialPrize': 0}, 'rank5': {'prize': 14330, 'winners': 467, 'specialPrize': 0}, 'rank6': {'prize': 7050, 'winners': 1004, 'specialPrize': 0}, 'rank7': {'prize': 4350, 'winners': 1141, 'specialPrize': 0}, 'rank8': {'prize': 1690, 'winners': 14715, 'specialPrize': 0}, 'rank9': {'prize': 1260, 'winners': 21976, 'specialPrize': 0}, 'rank10': {'prize': 880, 'winners': 58195, 'specialPrize': 0}, 'rank11': {'prize': 790, 'winners': 78527, 'specialPrize': 0}, 'rank12': {'prize': 600, 'winners': 326849, 'specialPrize': 0}, 'rank13': {'prize': 360, 'winners': 860109, 'specialPrize': 0}}, 'jackpot': '17', 'currency': 'EUR', 'next_jackpot': '130', 'current_jackpot': '17'}"
2025-11-28,5,29,33,39,42,3,9,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 17865673300, 'winners': 1, 'specialPrize': 0}, 'rank2': {'prize': 20534880, 'winners': 5, 'specialPrize': 0}, 'rank3': {'prize': 3999450, 'winners': 6, 'specialPrize': 0}, 'rank4': {'prize': 124570, 'winners': 60, 'specialPrize': 0}, 'rank5': {'prize': 13060, 'winners': 1054, 'specialPrize': 0}, 'rank6': {'prize': 4870, 'winners': 2987, 'specialPrize': 0}, 'rank7': {'prize': 4600, 'winners': 2222, 'specialPrize': 0}, 'rank8': {'prize': 1100, 'winners': 46143, 'specialPrize': 0}, 'rank9': {'prize': 1140, 'winners': 49711, 'specialPrize': 0}, 'rank10': {'prize': 1030, 'winners': 102915, 'specialPrize': 0}, 'rank11': {'prize': 520, 'winners': 243240, 'specialPrize': 0}, 'rank12': {'prize': 540, 'winners': 749530, 'specialPrize': 0}, 'rank13': {'prize': 420, 'winners': 1533526, 'specialPrize': 0}}, 'jackpot': '178', 'currency': 'EUR', 'next_jackpot': '17', 'current_jackpot': '178'}"
2025-11-25,6,11,17,35,44,3,7,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 16213441267, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank3': {'prize': 7445130, 'winners': 13, 'specialPrize': 0}, 'rank4': {'prize': 78230, 'winners': 73, 'specialPrize': 0}, 'rank5': {'prize': 10680, 'winners': 985, 'specialPrize': 0}, 'rank6': {'prize': 3570, 'winners': 3109, 'specialPrize': 0}, 'rank7': {'prize': 3940, 'winners': 1979, 'specialPrize': 0}, 'rank8': {'prize': 870, 'winners': 44655, 'specialPrize': 0}, 'rank9': {'prize': 970, 'winners': 44650, 'specialPrize': 0}, 'rank10': {'prize': 910, 'winners': 88922, 'specialPrize': 0}, 'rank11': {'prize': 420, 'winners': 231707, 'specialPrize': 0}, 'rank12': {'prize': 490, 'winners': 624136, 'specialPrize': 0}, 'rank13': {'prize': 400, 'winners': 1240535, 'specialPrize': 0}}, 'jackpot': '162', 'currency': 'EUR', 'next_jackpot': '178', 'current_jackpot': '162'}"
2025-11-21,17,19,29,35,48,5,9,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 14951004738, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 18773470, 'winners': 5, 'specialPrize': 0}, 'rank3': {'prize': 2437590, 'winners': 9, 'specialPrize': 0}, 'rank4': {'prize': 101980, 'winners': 67, 'specialPrize': 0}, 'rank5': {'prize': 12170, 'winners': 1034, 'specialPrize': 0}, 'rank6': {'prize': 4640, 'winners': 2862, 'specialPrize': 0}, 'rank7': {'prize': 3980, 'winners': 2348, 'specialPrize': 0}, 'rank8': {'prize': 1100, 'winners': 42501, 'specialPrize': 0}, 'rank9': {'prize': 1050, 'winners': 49206, 'specialPrize': 0}, 'rank10': {'prize': 970, 'winners': 99866, 'specialPrize': 0}, 'rank11': {'prize': 530, 'winners': 221576, 'specialPrize': 0}, 'rank12': {'prize': 520, 'winners': 703948, 'specialPrize': 0}, 'rank13': {'prize': 410, 'winners': 1454386, 'specialPrize': 0}}, 'jackpot': '150', 'currency': 'EUR', 'next_jackpot': '162', 'current_jackpot': '150'}"
2025-11-18,2,4,15,21,48,6,12,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 13440495507, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 12214650, 'winners': 6, 'specialPrize': 0}, 'rank3': {'prize': 2141070, 'winners': 8, 'specialPrize': 0}, 'rank4': {'prize': 152430, 'winners': 35, 'specialPrize': 0}, 'rank5': {'prize': 13200, 'winners': 744, 'specialPrize': 0}, 'rank6': {'prize': 6980, 'winners': 1488, 'specialPrize': 0}, 'rank7': {'prize': 3760, 'winners': 1940, 'specialPrize': 0}, 'rank8': {'prize': 1630, 'winners': 22269, 'specialPrize': 0}, 'rank9': {'prize': 1220, 'winners': 33187, 'specialPrize': 0}, 'rank10': {'prize': 900, 'winners': 83955, 'specialPrize': 0}, 'rank11': {'prize': 790, 'winners': 115687, 'specialPrize': 0}, 'rank12': {'prize': 600, 'winners': 479072, 'specialPrize': 0}, 'rank13': {'prize': 380, 'winners': 1219556, 'specialPrize': 0}}, 'jackpot': '135', 'currency': 'EUR', 'next_jackpot': '150', 'current_jackpot': '135'}"
2025-11-14,9,26,27,45,48,8,9,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 12261149124, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 29404790, 'winners': 3, 'specialPrize': 0}, 'rank3': {'prize': 5154280, 'winners': 4, 'specialPrize': 0}, 'rank4': {'prize': 156620, 'winners': 41, 'specialPrize': 0}, 'rank5': {'prize': 13880, 'winners': 852, 'specialPrize': 0}, 'rank6': {'prize': 6410, 'winners': 1949, 'specialPrize': 0}, 'rank7': {'prize': 5150, 'winners': 1706, 'specialPrize': 0}, 'rank8': {'prize': 1570, 'winners': 27927, 'specialPrize': 0}, 'rank9': {'prize': 1110, 'winners': 43975, 'specialPrize': 0}, 'rank10': {'prize': 1030, 'winners': 88029, 'specialPrize': 0}, 'rank11': {'prize': 750, 'winners': 145774, 'specialPrize': 0}, 'rank12': {'prize': 530, 'winners': 650475, 'specialPrize': 0}, 'rank13': {'prize': 420, 'winners': 1317488, 'specialPrize': 0}}, 'jackpot': '123', 'currency': 'EUR', 'next_jackpot': '135', 'current_jackpot': '123'}"
2025-11-11,4,22,32,36,47,2,10,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 10841607509, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 32279860, 'winners': 2, 'specialPrize': 0}, 'rank3': {'prize': 3772160, 'winners': 4, 'specialPrize': 0}, 'rank4': {'prize': 151600, 'winners': 31, 'specialPrize': 0}, 'rank5': {'prize': 14590, 'winners': 593, 'specialPrize': 0}, 'rank6': {'prize': 6770, 'winners': 1351, 'specialPrize': 0}, 'rank7': {'prize': 4750, 'winners': 1353, 'specialPrize': 0}, 'rank8': {'prize': 1610, 'winners': 19910, 'specialPrize': 0}, 'rank9': {'prize': 1340, 'winners': 26686, 'specialPrize': 0}, 'rank10': {'prize': 1060, 'winners': 62698, 'specialPrize': 0}, 'rank11': {'prize': 740, 'winners': 108725, 'specialPrize': 0}, 'rank12': {'prize': 630, 'winners': 400105, 'specialPrize': 0}, 'rank13': {'prize': 430, 'winners': 944285, 'specialPrize': 0}}, 'jackpot': '108', 'currency': 'EUR', 'next_jackpot': '123', 'current_jackpot': '108'}"
2025-11-07,11,21,39,40,43,2,8,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 9802715455, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 19974520, 'winners': 4, 'specialPrize': 0}, 'rank3': {'prize': 2667640, 'winners': 7, 'specialPrize': 0}, 'rank4': {'prize': 193870, 'winners': 30, 'specialPrize': 0}, 'rank5': {'prize': 15410, 'winners': 695, 'specialPrize': 0}, 'rank6': {'prize': 5710, 'winners': 1983, 'specialPrize': 0}, 'rank7': {'prize': 5450, 'winners': 1459, 'specialPrize': 0}, 'rank8': {'prize': 1260, 'winners': 31389, 'specialPrize': 0}, 'rank9': {'prize': 1290, 'winners': 34361, 'specialPrize': 0}, 'rank10': {'prize': 1080, 'winners': 76186, 'specialPrize': 0}, 'rank11': {'prize': 550, 'winners': 181670, 'specialPrize': 0}, 'rank12': {'prize': 590, 'winners': 526727, 'specialPrize': 0}, 'rank13': {'prize': 430, 'winners': 1164335, 'specialPrize': 0}}, 'jackpot': '97', 'currency': 'EUR', 'next_jackpot': '108', 'current_jackpot': '97'}"
2025-11-04,6,9,25,28,45,1,4,"{'odds': {'rank0': {'prize': 0, 'winners': 0, 'specialPrize': 0}, 'rank1': {'prize': 8516998608, 'winners': 0, 'specialPrize': 0}, 'rank2': {'prize': 19750310, 'winners': 3, 'specialPrize': 0}, 'rank3': {'prize': 1730990, 'winners': 8, 'specialPrize': 0}, 'rank4': {'prize': 148730, 'winners': 29, 'specialPrize': 0}, 'rank5': {'prize': 11170, 'winners': 711, 'specialPrize': 0}, 'rank6': {'prize': 5980, 'winners': 1404, 'specialPrize': 0}, 'rank7': {'prize': 3350, 'winners': 1759, 'specialPrize': 0}, 'rank8': {'prize': 1510, 'winners': 19536, 'specialPrize': 0}, 'rank9': {'prize': 1060, 'winners': 30878, 'specialPrize': 0}, 'rank10': {'prize': 820, 'winners': 74726, 'specialPrize': 0}, 'rank11': {'prize': 750, 'winners': 98351, 'specialPrize': 0}, 'rank12': {'prize': 540, 'winners': 431470, 'specialPrize': 0}, 'rank13': {'prize': 360, 'winners': 1023577, 'specialPrize': 0}}, 'jackpot': '84', 'currency': 'EUR', 'next_jackpot': '97', 'current_jackpot': '84'}"
